Epoch,Train Loss,Val Spearman,Val Recall,Learning Rate
1,0.45804329381318754,0.329317952481445,100.0,0.0001
2,0.421490269538128,0.30107228471358616,100.0,0.0002
3,0.42647035491995205,0.3881177522153816,14.357221340495666,0.0003
4,0.4270847152913248,0.38866850346027537,100.0,0.0004
5,0.4296402989794768,0.38995219775894424,100.0,0.0005
6,0.4188824821055703,0.3888548292246942,100.0,0.0004993910125649561
7,0.43407998112308793,0.3782882616066299,14.357221340495666,0.0004975670171853926
8,0.43100644131330973,0.3317363995044247,100.0,0.0004945369001834514
9,0.4223890847871573,0.3902499248824198,18.007569283359786,0.0004903154239845797
10,0.41552336052251987,0.3220771497296965,18.007569283359786,0.0004849231551964771
11,0.42083260946945744,0.390210306756682,18.007569283359786,0.0004783863644106502
12,0.4128150474354724,0.39026870782697404,100.0,4.548949411970224e-05
13,0.4135252280637771,0.3491092934690454,99.97558295690392,3.595741502630115e-05
14,0.41253933368919576,0.3894442796689668,99.97558295690392,2.746812989140651e-05
15,0.40898816382595055,0.3886677987847315,99.97558295690392,2.0062997658855582e-05
